X,Y,u_数值解,u_解析解,abs误差
0.2,0.01,0.5454497070265291,0.01846278094943573,0.5269869260770933
0.21,0.01,0.5687620972891669,0.019251875799579092,0.5495102214895878
0.22,0.01,0.5915131880292606,0.020021971372615407,0.5714912166566452
0.23,0.01,0.6136805266670219,0.02077230767718885,0.592908218989833
0.24,0.01,0.6352422367155102,0.021502144221956006,0.6137400924935542
0.25,0.01,0.6561770393700861,0.022210760746361424,0.6339662786237247
0.26,0.01,0.6764642745080174,0.022897457931447825,0.6535668165765696
0.27,0.01,0.6960839210775309,0.023561558089999483,0.6725223629875314
0.28,0.01,0.7150166168561709,0.02420240583533769,0.6908142110208332
0.29,0.01,0.7332436775589761,0.024819368728108287,0.7084243088308678
0.3,0.01,0.7507471152776127,0.025411837900422948,0.7253352773771898
0.31,0.01,0.7675096562322681,0.025979228656738254,0.7415304275755298
0.32,0.01,0.7835147578187855,0.026520981050879647,0.7569937767679059
0.33,0.01,0.7987466249342194,0.02703656043864067,0.7717100644955788
0.34,0.01,0.8131902255646921,0.027525458005412257,0.7856647675592798
0.35000000000000003,0.01,0.8268313056201777,0.027987191268321308,0.7988441143518564
0.36,0.01,0.8396564030015695,0.02842130455238309,0.8112350984491864
0.37,0.01,0.8516528608861447,0.028827369440197342,0.8228254914459473
0.38,0.01,0.8628088402183208,0.029204985194744612,0.8336038550235763
0.39,0.01,0.8731133313933763,0.029553779154865265,0.8435595522385111
0.4,0.01,0.882556165122596,0.02987340710303106,0.852682758019565
0.41000000000000003,0.01,0.8911280224691368,0.030163553605046314,0.8609644688640905
0.42,0.01,0.8988204440446901,0.030423932321343345,0.8683965117233468
0.43,0.01,0.9056258383578788,0.030654286289565076,0.8749715520683137
0.44,0.01,0.9115374893061412,0.030854388178155837,0.8806831011279853
0.45,0.01,0.9165495628037128,0.031024040510710192,0.8855255222930026
0.46,0.01,0.9206571125391669,0.031163075860858275,0.8894940366783086
0.47000000000000003,0.01,0.9238560848568254,0.031271357017495435,0.89258472783933
0.48,0.01,0.9261433227572267,0.03134877712019301,0.8947945456370336
0.49,0.01,0.927516569012705,0.03139525976465669,0.8961213092480482
0.5,0.01,0.9279744683950001,0.03141075907812829,0.8965637093168718
0.51,0.01,0.9275165690127045,0.03139525976465669,0.8961213092480478
0.52,0.01,0.9261433227572251,0.03134877712019301,0.8947945456370321
0.53,0.01,0.923856084856825,0.031271357017495435,0.8925847278393296
0.54,0.01,0.9206571125391669,0.031163075860858272,0.8894940366783086
0.55,0.01,0.916549562803713,0.03102404051071019,0.8855255222930029
0.56,0.01,0.911537489306141,0.030854388178155837,0.8806831011279851
0.5700000000000001,0.01,0.9056258383578788,0.03065428628956508,0.8749715520683137
0.58,0.01,0.8988204440446902,0.03042393232134335,0.8683965117233469
0.59,0.01,0.8911280224691367,0.030163553605046314,0.8609644688640904
0.6,0.01,0.8825561651225959,0.029873407103031064,0.8526827580195648
0.61,0.01,0.8731133313933765,0.029553779154865265,0.8435595522385113
0.62,0.01,0.8628088402183219,0.029204985194744616,0.8336038550235774
0.63,0.01,0.851652860886145,0.028827369440197346,0.8228254914459476
0.64,0.01,0.8396564030015694,0.028421304552383085,0.8112350984491863
0.65,0.01,0.8268313056201771,0.02798719126832131,0.7988441143518559
0.66,0.01,0.8131902255646916,0.02752545800541225,0.7856647675592793
0.67,0.01,0.7987466249342194,0.02703656043864067,0.7717100644955788
0.68,0.01,0.7835147578187858,0.026520981050879643,0.7569937767679061
0.6900000000000001,0.01,0.767509656232268,0.02597922865673825,0.7415304275755297
0.7000000000000001,0.01,0.7507471152776126,0.025411837900422948,0.7253352773771897
0.71,0.01,0.733243677558976,0.024819368728108294,0.7084243088308677
0.72,0.01,0.715016616856171,0.02420240583533769,0.6908142110208333
0.73,0.01,0.6960839210775309,0.023561558089999483,0.6725223629875314
0.74,0.01,0.6764642745080173,0.02289745793144782,0.6535668165765695
0.75,0.01,0.6561770393700861,0.022210760746361424,0.6339662786237247
0.76,0.01,0.6352422367155109,0.021502144221956013,0.6137400924935549
0.77,0.01,0.6136805266670219,0.02077230767718885,0.592908218989833
0.78,0.01,0.5915131880292602,0.020021971372615414,0.5714912166566448
0.79,0.01,0.568762097289166,0.019251875799579092,0.549510221489587
0.8,0.01,0.5454497070265283,0.018462780949435733,0.5269869260770925
0.81,0.01,0.5215990237559966,0.017655465563533822,0.5039435581924628
0.8200000000000001,0.01,0.49723358522243083,0.016830726364690907,0.4804028588577399
0.8300000000000001,0.01,0.472377437171989,0.015989377270924247,0.45638805990106474
0.84,0.01,0.4470551096218773,0.015132248592212122,0.43192286102966515
0.85,0.01,0.42129159265218646,0.014260186211077972,0.40703140644110847
0.86,0.01,0.39511231174369815,0.013374050747806647,0.38173826099589153
0.87,0.01,0.3685431026860064,0.012474716711115937,0.35606838597489043
0.88,0.01,0.3416101860807115,0.011563071635122171,0.3300471144455893
0.89,0.01,0.3143401414648524,0.010640015203451082,0.3037001262614013
0.9,0.01,0.2867598810801127,0.009706458361358802,0.2770534227187539
0.91,0.01,0.2588966233136869,0.008763322416738769,0.25013330089694813
0.92,0.01,0.23077786583701876,0.007811538130902164,0.2229663277061166
0.93,0.01,0.20243135846891877,0.006852044800028773,0.19557931366889
0.9400000000000001,0.01,0.1738850757898441,0.005885789328195162,0.16799928646164894
0.9500000000000001,0.01,0.1451671895343645,0.004913725292894578,0.14025346424146992
0.96,0.01,0.11630604078906173,0.003936812003971152,0.11236922878509058
0.97,0.01,0.0873301120232987,0.0029560135568968663,0.08437409846640183
0.98,0.01,0.058267998980460714,0.0019722978813257784,0.05629570109913493
0.99,0.01,0.029148382457409597,0.0009866357858642173,0.02816174667154538
1.0,0.01,0.0,3.846708556381848e-18,3.846708556381848e-18
0.0,0.02,0.0,0.0,0.0
0.01,0.02,0.058267998980460464,0.001972297881325772,0.05629570109913469
0.02,0.02,0.11647849448070799,0.003942649342761085,0.1125358451379469
0.03,0.02,0.1745740397695221,0.005909109885296915,0.16866492988422518
0.04,0.02,0.23249730155766296,0.007869738849791441,0.22462756270787151
0.05,0.02,0.2901911165789057,0.009822601332166307,0.2803685152467394
0.06,0.02,0.3475985480032833,0.011765770092923353,0.33583277791036
0.07,0.02,0.40466294162686295,0.013697327459097328,0.3909656141677656
0.08,0.02,0.46132798178260603,0.015615367216767555,0.4457126145658385
0.09,0.02,0.5175377469171314,0.017517996492260966,0.5000197504248705
0.1,0.02,0.5732367647785399,0.019403337620189854,0.55383342715835
0.11,0.02,0.6283700671608242,0.021269529996480963,0.6071005371643432
0.12,0.02,0.6828832441508585,0.02311473191456702,0.6597685122362915
0.13,0.02,0.7367224978244094,0.024937122382928806,0.7117853754414806
0.14,0.02,0.7898346953381924,0.026734902922193913,0.7630997924159985
0.15,0.02,0.8421674213655753,0.028506299340018748,0.8136611220255565
0.16,0.02,0.8936690298241756,0.030249563482002226,0.8634194663421734
0.17,0.02,0.9442886948443084,0.03196297495690302,0.9123257198874054
0.18,0.02,0.9939764609279863,0.03364484283445808,0.9603316180935282
0.19,0.02,1.0426832922489604,0.035293507314126636,1.0073897849348337
0.2,0.02,1.0903611210451642,0.036907341363112925,1.0534537796820513
0.21,0.02,1.1369628950557895,0.03848475232205113,1.0984781427337384
0.22,0.02,1.1824426239561885,0.04002418347676794,1.1424184404794206
0.23,0.02,1.2267554247447712,0.04152411559457141,1.1852313091501998
0.24,0.02,1.2698575660371079,0.04298306842355027,1.2268744976135575
0.25,0.02,1.3117065112235282,0.044399602153403835,1.2673069090701243
0.26,0.02,1.3522609604476175,0.045772318836360903,1.3064886416112564
0.27,0.02,1.3914808913641883,0.047099863766785516,1.3443810275974029
0.28,0.02,1.4293275986365068,0.048380926818107774,1.3809466718183991
0.29,0.02,1.4657637321337833,0.049614243735760635,1.4161494883980226
0.3,0.02,1.5007533337912444,0.050798597384846544,1.4499547364063978
0.31,0.02,1.5342618730963984,0.0519328189513026,1.4823290541450957
0.32,0.02,1.5662562811664877,0.05301578909537893,1.513240492071109
0.33,0.02,1.5967049833834779,0.0540464390562919,1.542658544327186
0.34,0.02,1.625577930554398,0.05502375170696199,1.570554178847436
0.35000000000000003,0.02,1.6528466285662615,0.055946762557795335,1.5968998660084661
0.36,0.02,1.6784841665063224,0.05681456070851866,1.6216696057978037
0.37,0.02,1.7024652432198892,0.057626289747127704,1.6448389534727614
0.38,0.02,1.7247661922795205,0.058381148595062604,1.6663850436844578
0.39,0.02,1.7453650053409178,0.05907839229777568,1.686286613043142
0.4,0.02,1.7642413538625135,0.05971733275991158,1.7045240211026018
0.41000000000000003,0.02,1.7813766091672867,0.06029733942437441,1.7210792697429123
0.42,0.02,1.7967538608270155,0.06081783989461139,1.7359360209324042
0.43,0.02,1.8103579333508308,0.06127832049949918,1.7490796128513317
0.44,0.02,1.8221754011615918,0.06167832680027527,1.7604970743613166
0.45,0.02,1.8321946018453075,0.06201746403901412,1.7701771378062934
0.46,0.02,1.840405647660538,0.06229539752820563,1.7781102501323323
0.47000000000000003,0.02,1.846800435296394,0.06251185298105129,1.7842885823153427
0.48,0.02,1.8513726538695316,0.06266661678215212,1.7887060370873795
0.49,0.02,1.8541177911522266,0.06275953619832131,1.7913582549539053
0.5,0.02,1.8550331380254093,0.06279051952931337,1.7922426184960958
0.51,0.02,1.8541177911522237,0.06275953619832131,1.7913582549539024
0.52,0.02,1.8513726538695288,0.06266661678215212,1.7887060370873766
0.53,0.02,1.8468004352963936,0.06251185298105129,1.7842885823153423
0.54,0.02,1.8404056476605388,0.06229539752820562,1.7781102501323331
0.55,0.02,1.8321946018453086,0.06201746403901411,1.7701771378062945
0.56,0.02,1.8221754011615916,0.06167832680027527,1.7604970743613164
0.5700000000000001,0.02,1.8103579333508308,0.06127832049949919,1.7490796128513317
0.58,0.02,1.7967538608270162,0.0608178398946114,1.7359360209324048
0.59,0.02,1.7813766091672858,0.06029733942437441,1.7210792697429114
0.6,0.02,1.7642413538625132,0.05971733275991159,1.7045240211026016
0.61,0.02,1.745365005340918,0.05907839229777568,1.6862866130431422
0.62,0.02,1.7247661922795225,0.05838114859506261,1.6663850436844598
0.63,0.02,1.7024652432198915,0.05762628974712771,1.6448389534727637
0.64,0.02,1.678484166506322,0.056814560708518654,1.6216696057978033
0.65,0.02,1.6528466285662597,0.05594676255779534,1.5968998660084643
0.66,0.02,1.6255779305543956,0.05502375170696198,1.5705541788474335
0.67,0.02,1.5967049833834777,0.0540464390562919,1.5426585443271859
0.68,0.02,1.5662562811664877,0.05301578909537892,1.513240492071109
0.6900000000000001,0.02,1.5342618730963984,0.05193281895130259,1.4823290541450957
0.7000000000000001,0.02,1.500753333791244,0.050798597384846544,1.4499547364063974
0.71,0.02,1.4657637321337835,0.04961424373576065,1.4161494883980228
0.72,0.02,1.4293275986365073,0.048380926818107774,1.3809466718183996
0.73,0.02,1.3914808913641883,0.047099863766785516,1.3443810275974029
0.74,0.02,1.3522609604476168,0.0457723188363609,1.306488641611256
0.75,0.02,1.311706511223528,0.044399602153403835,1.267306909070124
0.76,0.02,1.2698575660371088,0.042983068423550284,1.2268744976135584
0.77,0.02,1.2267554247447714,0.04152411559457141,1.1852313091502
0.78,0.02,1.1824426239561883,0.040024183476767956,1.1424184404794202
0.79,0.02,1.1369628950557875,0.03848475232205113,1.0984781427337365
0.8,0.02,1.090361121045162,0.03690734136311293,1.0534537796820491
0.81,0.02,1.0426832922489595,0.03529350731412663,1.0073897849348328
0.8200000000000001,0.02,0.9939764609279855,0.03364484283445808,0.9603316180935274
0.8300000000000001,0.02,0.9442886948443082,0.031962974956903006,0.9123257198874052
0.84,0.02,0.8936690298241755,0.030249563482002244,0.8634194663421733
0.85,0.02,0.8421674213655755,0.028506299340018755,0.8136611220255567
0.86,0.02,0.7898346953381928,0.026734902922193923,0.7630997924159989
0.87,0.02,0.7367224978244096,0.024937122382928806,0.7117853754414808
0.88,0.02,0.682883244150859,0.023114731914567033,0.659768512236292
0.89,0.02,0.6283700671608243,0.02126952999648096,0.6071005371643434
0.9,0.02,0.5732367647785392,0.01940333762018986,0.5538334271583494
0.91,0.02,0.5175377469171312,0.017517996492260955,0.5000197504248702
0.92,0.02,0.4613279817826059,0.015615367216767557,0.4457126145658384
0.93,0.02,0.4046629416268628,0.013697327459097311,0.3909656141677655
0.9400000000000001,0.02,0.34759854800328327,0.011765770092923351,0.3358327779103599
0.9500000000000001,0.02,0.29019111657890573,0.009822601332166314,0.2803685152467394
0.96,0.02,0.23249730155766313,0.007869738849791459,0.22462756270787168
0.97,0.02,0.17457403976952263,0.0059091098852969174,0.1686649298842257
0.98,0.02,0.11647849448070847,0.003942649342761098,0.11253584513794737
0.99,0.02,0.05826799898046058,0.0019722978813257685,0.056295701099134815
1.0,0.02,0.0,7.6896208758373e-18,7.6896208758373e-18
0.0,0.03,0.0,0.0,0.0
0.01,0.03,0.08733011202329843,0.002956013556896865,0.08437409846640156
0.02,0.03,0.17457403976952207,0.005909109885296915,0.16866492988422516
0.03,0.03,0.2616456840150725,0.008856374635655659,0.25278930937941685
0.04,0.03,0.34845911555936615,0.01179489921349208,0.33666421634587407
0.05,0.03,0.43492866002658154,0.01472178364982022,0.4202068763767613
0.06,0.03,0.5209689824159244,0.017634139463068466,0.5033348429528559
0.07,0.03,0.6064951713169702,0.02052909250966213,0.585966078807308
0.08,0.03,0.6914228227069759,0.023403785820456127,0.6680190368865198
0.09,0.03,0.7756681232474588,0.02625538242021864,0.7494127408272402
0.1,0.03,0.8591479329978444,0.029081068127383123,0.8300668648704613
0.11,0.03,0.9417798674645459,0.03187805433130579,0.9099018131332401
0.12,0.03,1.0234823789045226,0.0346435807442876,0.988838798160235
0.13,0.03,1.104174836803045,0.03737491812564499,1.0667999186774
0.14,0.03,1.1837776074462867,0.04006937097514092,1.1437082364711457
0.15,0.03,1.262212132510182,0.04272428019311816,1.2194878523170638
0.16,0.03,1.339401006588007,0.04533702570470966,1.2940639808832974
0.17,0.03,1.4152680535801732,0.04790502904553605,1.367363024534637
0.18,0.03,1.489738401870838,0.05042575590633875,1.4393126459644991
0.19,0.03,1.5627385582171531,0.05289671863403717,1.509841839583116
0.2,0.03,1.6341964802782214,0.055315478686742046,1.5788810015914794
0.21,0.03,1.704041647712186,0.05767964904030176,1.6463619986718843
0.22,0.03,1.7722051317713,0.059986896544007136,1.7122182352272928
0.23,0.03,1.8386196633262735,0.06223494422312936,1.776384719103144
0.24,0.03,1.903219699252791,0.06442157352601924,1.8387981257267718
0.25,0.03,1.9659414871146392,0.06654462651354975,1.8993968606010894
0.26,0.03,2.0267231280797002,0.06860200798874153,1.9581211200909587
0.27,0.03,2.0855046380065936,0.0705916875644692,2.0149129504421244
0.28,0.03,2.1422280066418007,0.07251170166720845,2.0697163049745924
0.29,0.03,2.1968372548687753,0.07436015547484602,2.1224770993939295
0.3,0.03,2.2492784899525704,0.07613522478664028,2.17314326516593
0.31,0.03,2.299499958725465,0.07783515782348721,2.221664800901978
0.32,0.03,2.347452098661091,0.07945827695671484,2.2679938217043762
0.33,0.03,2.393087586786666,0.08100298036370024,2.3120846064229656
0.34,0.03,2.436361386385048,0.082467743608675,2.3538936427763733
0.35000000000000003,0.03,2.477230791440542,0.08385112114715931,2.393379670293383
0.36,0.03,2.515655468784583,0.08515174775253996,2.430503721032043
0.37,0.03,2.5515974978996976,0.08636833986338392,2.4652291580363137
0.38,0.03,2.585021408342488,0.08749969685015876,2.4975217114923294
0.39,0.03,2.6158942147486584,0.08854470220010892,2.5273495125485494
0.4,0.03,2.6441854493856094,0.08950232461911901,2.5546831247664903
0.41000000000000003,0.03,2.669867192220393,0.09037161904947666,2.579495573170916
0.42,0.03,2.6929140984734277,0.09115172760253025,2.6017623708708975
0.43,0.03,2.7133034236307285,0.09184188040532157,2.621461543225407
0.44,0.03,2.731015045889998,0.09244139636035745,2.638573649529641
0.45,0.03,2.746031486018418,0.0929496838177707,2.653081802200647
0.46,0.03,2.758337924602535,0.09336624115920712,2.6649716834433277
0.47000000000000003,0.03,2.7679222166732433,0.0936906572928623,2.674231559380381
0.48,0.03,2.7747749036913953,0.09392261205917958,2.680852291632216
0.49,0.03,2.778889222882235,0.09406187654680881,2.684827346335426
0.5,0.03,2.780261113909453,0.09410831331851431,2.6861528005909387
0.51,0.03,2.778889222882234,0.09406187654680881,2.684827346335425
0.52,0.03,2.774774903691393,0.09392261205917958,2.6808522916322137
0.53,0.03,2.7679222166732433,0.0936906572928623,2.674231559380381
0.54,0.03,2.758337924602536,0.09336624115920712,2.6649716834433286
0.55,0.03,2.746031486018417,0.09294968381777069,2.653081802200646
0.56,0.03,2.7310150458899978,0.09244139636035745,2.6385736495296404
0.5700000000000001,0.03,2.7133034236307285,0.09184188040532158,2.621461543225407
0.58,0.03,2.6929140984734286,0.09115172760253025,2.6017623708708983
0.59,0.03,2.6698671922203934,0.09037161904947666,2.5794955731709166
0.6,0.03,2.6441854493856085,0.08950232461911903,2.5546831247664894
0.61,0.03,2.615894214748659,0.08854470220010892,2.52734951254855
0.62,0.03,2.5850214083424885,0.08749969685015876,2.49752171149233
0.63,0.03,2.5515974978996994,0.08636833986338392,2.4652291580363155
0.64,0.03,2.5156554687845825,0.08515174775253995,2.4305037210320424
0.65,0.03,2.4772307914405403,0.08385112114715933,2.3933796702933807
0.66,0.03,2.436361386385049,0.08246774360867498,2.353893642776374
0.67,0.03,2.3930875867866654,0.08100298036370024,2.312084606422965
0.68,0.03,2.3474520986610914,0.07945827695671484,2.2679938217043767
0.6900000000000001,0.03,2.2994999587254634,0.0778351578234872,2.2216648009019764
0.7000000000000001,0.03,2.2492784899525686,0.07613522478664028,2.1731432651659284
0.71,0.03,2.196837254868775,0.07436015547484603,2.122477099393929
0.72,0.03,2.1422280066418025,0.07251170166720845,2.069716304974594
0.73,0.03,2.085504638006594,0.0705916875644692,2.014912950442125
0.74,0.03,2.026723128079699,0.06860200798874151,1.9581211200909574
0.75,0.03,1.9659414871146392,0.06654462651354975,1.8993968606010894
0.76,0.03,1.903219699252789,0.06442157352601925,1.8387981257267698
0.77,0.03,1.8386196633262755,0.06223494422312936,1.776384719103146
0.78,0.03,1.7722051317712997,0.05998689654400716,1.7122182352272926
