X,Y,u_数值解,u_解析解,abs_误差
0.2,0.01,-0.2736681295905764,0.01846278094943573,0.2921309105400121
0.21,0.01,-0.2853646401162113,0.019251875799579092,0.3046165159157904
0.22,0.01,-0.2967795301933219,0.020021971372615407,0.31680150156593734
0.23,0.01,-0.3079015347045272,0.02077230767718885,0.32867384238171604
0.24,0.01,-0.31871967757525876,0.021502144221956006,0.3402218217972148
0.25,0.01,-0.3292232826049048,0.022210760746361424,0.3514340433512662
0.26,0.01,-0.3394019840027709,0.022897457931447825,0.3622994419342187
0.27,0.01,-0.3492457366185238,0.023561558089999483,0.3728072947085233
0.28,0.01,-0.35874482585637246,0.02420240583533769,0.38294723169171013
0.29,0.01,-0.3678898772624692,0.024819368728108287,0.3927092459905775
0.3,0.01,-0.3766718657758594,0.025411837900422948,0.4020837036762824
0.31,0.01,-0.3850821246343796,0.025979228656738254,0.4110613532911178
0.32,0.01,-0.393112353927456,0.026520981050879647,0.41963333497833566
0.33,0.01,-0.4007546287876262,0.02703656043864067,0.42779118922626685
0.34,0.01,-0.40800140721219214,0.027525458005412257,0.4355268652176044
0.35000000000000003,0.01,-0.414845537506502,0.027987191268321308,0.4428327287748233
0.36,0.01,-0.4212802653411932,0.02842130455238309,0.4497015698935763
0.37,0.01,-0.42729924041695233,0.028827369440197342,0.4561266098571497
0.38,0.01,-0.4328965227311429,0.029204985194744612,0.4621015079258875
0.39,0.01,-0.43806658844052127,0.029553779154865265,0.46762036759538655
0.4,0.01,-0.4428043353138112,0.02987340710303106,0.47267774241684224
0.41000000000000003,0.01,-0.447105087767643,0.030163553605046314,0.4772686413726893
0.42,0.01,-0.45096460148024614,0.030423932321343345,0.48138853380158947
0.43,0.01,-0.45437906757873364,0.030654286289565076,0.4850333538682987
0.44,0.01,-0.45734511639698905,0.030854388178155837,0.4881995045751449
0.45,0.01,-0.45985982080135096,0.031024040510710192,0.49088386131206113
0.46,0.01,-0.46192069908063316,0.031163075860858275,0.4930837749414914
0.47000000000000003,0.01,-0.46352571739652854,0.031271357017495435,0.494797074414024
0.48,0.01,-0.46467329179089345,0.03134877712019301,0.49602206891108647
0.49,0.01,-0.4653622897478515,0.03139525976465669,0.49675754951250817
0.5,0.01,-0.46559203131014326,0.03141075907812829,0.49700279038827155
0.51,0.01,-0.46536228974977867,0.03139525976465669,0.49675754951443535
0.52,0.01,-0.4646732917926313,0.03134877712019301,0.4960220689128243
0.53,0.01,-0.46352571739591086,0.031271357017495435,0.4947970744134063
0.54,0.01,-0.461920699077701,0.031163075860858272,0.49308377493855926
0.55,0.01,-0.45985982079847776,0.03102404051071019,0.49088386130918793
0.56,0.01,-0.457345116396774,0.030854388178155837,0.48819950457492983
0.5700000000000001,0.01,-0.454379067581553,0.03065428628956508,0.48503335387111807
0.58,0.01,-0.45096460148376377,0.03042393232134335,0.4813885338051071
0.59,0.01,-0.44710508776881014,0.030163553605046314,0.47726864137385644
0.6,0.01,-0.44280433531157987,0.029873407103031064,0.4726777424146109
0.61,0.01,-0.4380665884367876,0.029553779154865265,0.4676203675916529
0.62,0.01,-0.4328965227290421,0.029204985194744616,0.46210150792378674
0.63,0.01,-0.4272992404180549,0.028827369440197346,0.45612660985825226
0.64,0.01,-0.42128026534416685,0.028421304552383085,0.4497015698965499
0.65,0.01,-0.4148455375084531,0.02798719126832131,0.44283272877677443
0.66,0.01,-0.408001407211376,0.02752545800541225,0.43552686521678824
0.67,0.01,-0.40075462878497353,0.02703656043864067,0.4277911892236142
0.68,0.01,-0.3931123539255738,0.026520981050879643,0.41963333497645344
0.6900000000000001,0.01,-0.385082124634968,0.02597922865673825,0.41106135329170623
0.7000000000000001,0.01,-0.3766718657780732,0.025411837900422948,0.40208370367849616
0.71,0.01,-0.36788987726376676,0.024819368728108294,0.39270924599187507
0.72,0.01,-0.3587448258550356,0.02420240583533769,0.38294723169037326
0.73,0.01,-0.3492457366154165,0.023561558089999483,0.372807294705416
0.74,0.01,-0.33940198400063215,0.02289745793144782,0.36229944193207997
0.75,0.01,-0.32922328260581785,0.022210760746361424,0.35143404335217926
0.76,0.01,-0.31871967757867403,0.021502144221956013,0.34022182180063004
0.77,0.01,-0.3079015347076939,0.02077230767718885,0.32867384238488273
0.78,0.01,-0.2967795301937326,0.020021971372615414,0.316801501566348
0.79,0.01,-0.28536464011379314,0.019251875799579092,0.30461651591337224
0.8,0.01,-0.2736681295876273,0.018462780949435733,0.292130910537063
0.81,0.01,-0.26170154165919246,0.017655465563533822,0.2793570072227263
0.8200000000000001,0.01,-0.24947668590509364,0.016830726364690907,0.26630741226978455
0.8300000000000001,0.01,-0.2370056267810336,0.015989377270924247,0.25299500405195785
0.84,0.01,-0.22430067171664558,0.015132248592212122,0.2394329203088577
0.85,0.01,-0.21137435896945633,0.014260186211077972,0.2256345451805343
0.86,0.01,-0.1982394452501836,0.013374050747806647,0.21161349599799026
0.87,0.01,-0.18490889313263575,0.012474716711115937,0.1973836098437517
0.88,0.01,-0.171395858261429,0.011563071635122171,0.18295892989655116
0.89,0.01,-0.15771367636990602,0.010640015203451082,0.1683536915733571
0.9,0.01,-0.1438758501200854,0.009706458361358802,0.15358230848144422
0.91,0.01,-0.12989603577691142,0.008763322416738769,0.1386593581936502
0.92,0.01,-0.11578802973021379,0.007811538130902164,0.12359956786111595
0.93,0.01,-0.10156575487853485,0.006852044800028773,0.10841779967856362
0.9400000000000001,0.01,-0.0872432468890233,0.005885789328195162,0.09312903621721846
0.9500000000000001,0.01,-0.07283464034678895,0.004913725292894578,0.07774836563968353
0.96,0.01,-0.05835415480665577,0.003936812003971152,0.06229096681062692
0.97,0.01,-0.04381608076035775,0.0029560135568968663,0.04677209431725462
0.98,0.01,-0.029234765532940424,0.0019722978813257784,0.0312070634142662
0.99,0.01,-0.014624599122800236,0.0009866357858642173,0.015611234908664453
1.0,0.01,0.0,3.846708556381848e-18,3.846708556381848e-18
0.0,0.02,0.0,0.0,0.0
0.01,0.02,-0.029234765535480593,0.001972297881325772,0.031207063416806364
0.02,0.02,-0.05844067988570947,0.003942649342761085,0.062383329228470556
0.03,0.02,-0.08758892033944071,0.005909109885296915,0.09349803022473763
0.04,0.02,-0.11665072110391907,0.007869738849791441,0.12452045995371051
0.05,0.02,-0.14559740169178748,0.009822601332166307,0.15542000302395378
0.06,0.02,-0.1744003952238471,0.011765770092923353,0.18616616531677044
0.07,0.02,-0.20303127662118747,0.013697327459097328,0.2167286040802848
0.08,0.02,-0.23146179065886724,0.015615367216767555,0.2470771578756348
0.09,0.02,-0.25966387985198996,0.017517996492260966,0.27718187634425095
0.1,0.02,-0.2876097121451353,0.019403337620189854,0.3070130497653252
0.11,0.02,-0.3152717083777134,0.021269529996480963,0.33654123837419436
0.12,0.02,-0.34262256949951164,0.02311473191456702,0.3657373014140787
0.13,0.02,-0.36963530351121804,0.024937122382928806,0.39457242589414687
0.14,0.02,-0.3962832521035891,0.026734902922193913,0.42301815502578305
0.15,0.02,-0.4225401169677677,0.028506299340018748,0.45104641630778647
0.16,0.02,-0.4483799857492128,0.030249563482002226,0.47862954923121503
0.17,0.02,-0.4737773576190905,0.03196297495690302,0.5057403325759935
0.18,0.02,-0.49870716843881335,0.03364484283445808,0.5323520112732715
0.19,0.02,-0.5231448154943694,0.035293507314126636,0.558438322808496
0.2,0.02,-0.5470661817768023,0.036907341363112925,0.5839735231399152
0.21,0.02,-0.5704476597842756,0.03848475232205113,0.6089324121063268
0.22,0.02,-0.5932661748209482,0.04002418347676794,0.6332903582977162
0.23,0.02,-0.6154992077687513,0.04152411559457141,0.6570233233633227
0.24,0.02,-0.6371248173098234,0.04298306842355027,0.6801078857333737
0.25,0.02,-0.6581216615787566,0.044399602153403835,0.7025212637321605
0.26,0.02,-0.6784690192242802,0.045772318836360903,0.7242413380606411
0.27,0.02,-0.698146809859665,0.047099863766785516,0.7452466736264506
0.28,0.02,-0.7171356138808143,0.048380926818107774,0.765516540698922
0.29,0.02,-0.7354166916313838,0.049614243735760635,0.7850309353671444
0.3,0.02,-0.752972001895813,0.050798597384846544,0.8037705992806596
0.31,0.02,-0.7697842197027146,0.0519328189513026,0.8217170386540172
0.32,0.02,-0.7858367534221561,0.05301578909537893,0.838852542517535
0.33,0.02,-0.8011137611403208,0.0540464390562919,0.8551602001966128
0.34,0.02,-0.8156001662947385,0.05502375170696199,0.8706239180017005
0.35000000000000003,0.02,-0.8292816725534526,0.055946762557795335,0.8852284351112479
0.36,0.02,-0.8421447779229698,0.05681456070851866,0.8989593386314885
0.37,0.02,-0.8541767880717303,0.057626289747127704,0.9118030778188579
0.38,0.02,-0.8653658288572379,0.058381148595062604,0.9237469774523005
0.39,0.02,-0.8757008580452591,0.05907839229777568,0.9347792503430348
0.4,0.02,-0.885171676208793,0.05971733275991158,0.9448890089687045
0.41000000000000003,0.02,-0.8937689367946682,0.06029733942437441,0.9540662762190426
0.42,0.02,-0.9014841553468094,0.06081783989461139,0.9623019952414208
